Date Time,Heater Heat Output,T.F Heater Outlet Flow Transmitter,T.F. Heater Serpentine Coil Outlet Temperature,Heater Outlet Flue Gas O2 Analyzer,T.F. Heater Outlet Flue Gas Temperature,Average T.F. Heater Outlet Temperature,Average T.F. Heater Serpentine Coil Inlet Temperature,Average Furnace Exit Temperature
2024-09-05 10:40:00,4483252.5,508.8515625,219.0,7.167787551879883,385.7000122070313,230.86666361490884,213.0500030517578,693.3500061035156
2024-09-05 10:50:00,4311412.5,499.96875,220.0,7.194010257720947,386.1000061035156,231.39999389648438,213.8500061035156,693.1499938964844
2024-09-05 11:00:00,4632940.0,508.4765625,220.5,6.283456325531006,393.0,232.0,213.75,707.1499938964844
2024-09-05 11:10:00,4731454.5,510.9140625,220.6999969482422,6.978805065155029,390.0,232.6999969482422,214.1500015258789,705.6000061035156
2024-09-05 11:20:00,4551882.5,512.3671875,222.3000030517578,7.022207736968994,392.0,233.89999389648438,215.8500061035156,703.1000061035156
2024-09-05 11:30:00,4547207.5,514.5,222.3999938964844,6.70301628112793,392.3999938964844,234.13333129882812,216.25,702.7000122070312
2024-09-05 11:40:00,4516245.5,500.25,222.0,6.643337726593018,395.2000122070313,233.66666666666666,215.5,708.2000122070312
2024-09-05 11:50:00,4847399.5,496.3125,223.3000030517578,5.75086784362793,404.7000122070313,235.36666361490884,215.75,728.7999877929688
2024-09-05 12:00:00,5049955.5,511.1484375,224.6999969482422,6.394675731658936,401.5,237.3333282470703,217.20000457763672,740.8499755859375
2024-09-05 12:10:00,4743971.5,500.0625,224.5,7.130714416503906,391.3999938964844,236.66666666666666,218.0,705.7000122070312
2024-09-05 12:20:00,4178507.0,491.8125,222.5,7.629846572875977,384.7000122070313,233.76666259765625,217.0,678.25
2024-09-05 12:30:00,4626206.5,504.3046875,222.0,6.387442111968994,399.2999877929688,233.66666158040366,215.5999984741211,698.2000122070312
2024-09-05 12:40:00,5305703.5,501.046875,222.8999938964844,5.6640625,411.8999938964844,235.76666259765625,215.0,735.75
2024-09-05 12:50:00,5183641.0,504.3515625,225.8000030517578,5.978732585906982,405.3999938964844,238.5,217.79999542236328,751.8500061035156
