Date Time,T.F. Heater Serpentine Coil Inlet Temperature
2024-06-22 00:00:00,221.5
2024-06-22 00:10:00,221.3999938964844
2024-06-22 00:20:00,219.6999969482422
2024-06-22 00:30:00,220.3000030517578
2024-06-22 00:40:00,220.3999938964844
2024-06-22 00:50:00,221.3000030517578
2024-06-22 01:00:00,221.6000061035156
2024-06-22 01:10:00,222.3000030517578
2024-06-22 01:20:00,221.3999938964844
2024-06-22 01:30:00,221.8999938964844
2024-06-22 01:40:00,221.8999938964844
2024-06-22 01:50:00,221.8000030517578
2024-06-22 02:00:00,222.1000061035156
2024-06-22 02:10:00,223.8000030517578
2024-06-22 02:20:00,223.1999969482422
2024-06-22 02:30:00,223.1999969482422
2024-06-22 02:40:00,223.1000061035156
2024-06-22 02:50:00,224.1000061035156
2024-06-22 03:00:00,223.1999969482422
2024-06-22 03:10:00,224.1000061035156
2024-06-22 03:20:00,222.3000030517578
2024-06-22 03:30:00,219.6999969482422
2024-06-22 03:40:00,220.1999969482422
2024-06-22 03:50:00,221.3000030517578
2024-06-22 04:00:00,219.8999938964844
2024-06-22 04:10:00,219.6999969482422
2024-06-22 04:20:00,220.8999938964844
2024-06-22 04:30:00,219.6999969482422
2024-06-22 04:40:00,218.5
2024-06-22 04:50:00,218.8999938964844
2024-06-22 05:00:00,219.1999969482422
2024-06-22 05:10:00,219.6999969482422
2024-06-22 05:20:00,219.3000030517578
2024-06-22 05:30:00,220.3000030517578
2024-06-22 05:40:00,223.3000030517578
2024-06-22 05:50:00,222.1999969482422
2024-06-22 06:00:00,219.6000061035156
2024-06-22 06:10:00,220.5
2024-06-22 06:20:00,221.5
2024-06-22 06:30:00,221.3999938964844
2024-06-22 06:40:00,222.0
2024-06-22 06:50:00,222.3000030517578
2024-06-22 07:00:00,221.1999969482422
2024-06-22 07:10:00,222.8999938964844
2024-06-22 07:20:00,222.5
2024-06-22 07:30:00,221.6000061035156
2024-06-22 07:40:00,220.6999969482422
2024-06-22 07:50:00,219.5
2024-06-22 08:00:00,218.8999938964844
2024-06-22 08:10:00,220.0
2024-06-22 08:20:00,219.8999938964844
2024-06-22 08:30:00,219.8000030517578
2024-06-22 08:40:00,220.3999938964844
2024-06-22 08:50:00,221.3999938964844
2024-06-22 09:00:00,220.3000030517578
2024-06-22 09:10:00,220.3999938964844
2024-06-22 09:20:00,222.1000061035156
2024-06-22 09:30:00,222.3000030517578
2024-06-22 09:40:00,222.8999938964844
2024-06-22 09:50:00,222.5
2024-06-22 10:00:00,221.0
2024-06-22 10:10:00,223.3000030517578
2024-06-22 10:20:00,222.3000030517578
2024-06-22 10:30:00,221.1999969482422
2024-06-22 10:40:00,222.1000061035156
2024-06-22 10:50:00,220.3999938964844
2024-06-22 11:00:00,221.1000061035156
2024-06-22 11:10:00,221.1999969482422
2024-06-22 11:20:00,225.6000061035156
2024-06-22 11:30:00,226.3999938964844
2024-06-22 11:40:00,226.3999938964844
2024-06-22 11:50:00,222.5
2024-06-22 12:00:00,220.5
2024-06-22 12:10:00,221.1000061035156
2024-06-22 12:20:00,220.1000061035156
2024-06-22 12:30:00,220.8999938964844
2024-06-22 12:40:00,221.6000061035156
2024-06-22 12:50:00,222.8999938964844
2024-06-22 13:00:00,222.8999938964844
2024-06-22 13:10:00,223.5
2024-06-22 13:20:00,223.3000030517578
2024-06-22 13:30:00,225.8999938964844
2024-06-22 13:40:00,227.1999969482422
2024-06-22 13:50:00,226.6000061035156
2024-06-22 14:00:00,224.1000061035156
2024-06-22 14:10:00,223.1999969482422
2024-06-22 14:20:00,223.1999969482422
2024-06-22 14:30:00,222.8999938964844
2024-06-22 14:40:00,223.8000030517578
2024-06-22 14:50:00,223.6000061035156
2024-06-22 15:00:00,224.1000061035156
2024-06-22 15:10:00,224.3999938964844
2024-06-22 15:20:00,225.0
2024-06-22 15:30:00,225.8999938964844
2024-06-22 15:40:00,226.8999938964844
2024-06-22 15:50:00,225.1000061035156
2024-06-22 16:00:00,223.0
2024-06-22 16:10:00,221.6999969482422
2024-06-22 16:20:00,221.8999938964844
2024-06-22 16:30:00,222.3999938964844
2024-06-22 16:40:00,222.1999969482422
2024-06-22 16:50:00,223.0
2024-06-22 17:00:00,221.6000061035156
2024-06-22 17:10:00,225.6000061035156
2024-06-22 17:20:00,218.6999969482422
2024-06-22 17:30:00,217.6000061035156
2024-06-22 17:40:00,217.1000061035156
2024-06-22 17:50:00,217.1000061035156
2024-06-22 18:00:00,217.3999938964844
2024-06-22 18:10:00,217.6999969482422
2024-06-22 18:20:00,218.3000030517578
2024-06-22 18:30:00,218.6000061035156
2024-06-22 18:40:00,219.3000030517578
2024-06-22 18:50:00,219.1999969482422
2024-06-22 19:00:00,219.0
2024-06-22 19:10:00,219.6999969482422
2024-06-22 19:20:00,219.3000030517578
2024-06-22 19:30:00,219.6999969482422
2024-06-22 19:40:00,219.6000061035156
2024-06-22 19:50:00,220.3999938964844
2024-06-22 20:00:00,221.6000061035156
2024-06-22 20:10:00,221.8000030517578
2024-06-22 20:20:00,221.1000061035156
2024-06-22 20:30:00,221.3999938964844
2024-06-22 20:40:00,221.1999969482422
2024-06-22 20:50:00,220.3999938964844
2024-06-22 21:00:00,223.3000030517578
2024-06-22 21:10:00,223.0
2024-06-22 21:20:00,223.0
2024-06-22 21:30:00,225.0
2024-06-22 21:40:00,224.1000061035156
2024-06-22 21:50:00,222.5
2024-06-22 22:00:00,220.8999938964844
